Model,MSE,RMSE,MAE
Holt-Winters,315550566.34388185,17763.74302741069,13069.726981053436
ARIMA,416708001.6230242,20413.426993599685,15809.064749465233
SARIMA,320631123.44944847,17906.175567369166,14494.32923579895
